Date Published,Lat,Lon,Street,Size,Price Per SQMT
2023-10-30/2023-11-05,41.6891698,44.91521861267774,ლუკოილი,2,0.0009103412555931805
2023-10-30/2023-11-05,41.68943,44.8595197,შალვა აზმაიფარაშვილის ქუჩა,2,0.0003972218101119318
2023-10-30/2023-11-05,41.6895389,44.8565577,დიმიტრი უზნაძის ქუჩა,6,0.00048532293557388594
2023-10-30/2023-11-05,41.6897908,44.86795670709502,,1,0.0004100961502232232
2023-10-30/2023-11-05,41.6899513,44.8238325,გუთნის ქუჩა,1,0.0007267572930148329
2023-10-30/2023-11-05,41.6899657,44.8357682,დოესის ქუჩა,1,0.0006568834392122927
2023-10-30/2023-11-05,41.6900752,44.791722,ოქროყანის ქუჩა,1,0.0002801399259481609
2023-10-30/2023-11-05,41.6902213,44.7944809,ამაღლების შეს.,11,0.0007241062266787222
2023-10-30/2023-11-05,41.6904488,44.8869191,გიორგი აბაშვილის ქუჩა,13,0.00031749297438449697
2023-10-30/2023-11-05,41.6904495,44.7943299,შ. მესხის ქუჩა,1,0.0005772593761664047
2023-10-30/2023-11-05,41.6906301,44.7972986,პაოლო იაშვილის ქუჩა,1,0.000493879371233548
2023-10-30/2023-11-05,41.690639000000004,44.69479108152969,წყნეთის ტყეპარკი,4,0.0005376314905686036
2023-10-30/2023-11-05,41.6908029,44.8467084,სერგი დურმიშიძის ქუჩა,1,0.00036128478034135064
2023-10-30/2023-11-05,41.6909142,44.8257614,ახმეტის ქუჩა,4,0.0004921141102959703
2023-10-30/2023-11-05,41.6909594,44.7998978,ივანე მაჩაბლის ქუჩა,1,0.0005291560156174095
2023-10-30/2023-11-05,41.691037,44.804668,აბო თბილელის ქუჩა,1,0.0006667352462074437
2023-10-30/2023-11-05,41.6910712,44.8227987,ილიკო ქურხულის მოსახვევი,1,0.0005180151871462575
2023-10-30/2023-11-05,41.6912848,44.8026872,მიხეილ ლერმონტოვის ქუჩა,6,0.0005648041267813009
2023-10-30/2023-11-05,41.6913092,44.8705358,ლიზა ნაკაშიძე-ბოლქვაძის ქუჩა,1,0.00029481445122421236
2023-10-30/2023-11-05,41.6915019,44.8341209,ჯორჯ ბუშის ქუჩა,1,0.0003401714975447816
2023-10-30/2023-11-05,41.6916062,44.8706574,ვარკეთილი,1,0.00031749297438449697
2023-10-30/2023-11-05,41.6918731,44.8151723,ავლაბრის მოედანი,1,0.00029985306472769433
2023-10-30/2023-11-05,41.6922896,44.8624694,ალექსანდრე წულუკიძის ქუჩა,16,0.00037940410438947386
2023-10-30/2023-11-05,41.6923942,44.8052975,ვახტანგ ბერიძის ქუჩა,2,0.0008960381970971588
2023-10-30/2023-11-05,41.6930311,44.8193296,ნიკიფორე ირბახის ქუჩა,6,0.0008421691641333413
2023-10-30/2023-11-05,41.6931351,44.7958236,პეტრე ჩაიკოვსკის ქუჩა,8,0.0006349859487689939
2023-10-30/2023-11-05,41.693202,44.8580962,დავით კვაჭანტირაძის ქუჩა,1,0.00028362599880690266
2023-10-30/2023-11-05,41.6932455,44.8133956,დუშეთის ქუჩა,1,3.463848350534862e-06
2023-10-30/2023-11-05,41.6934591,44.8014495,თბილისი,16,0.00045970125254105694
2023-10-30/2023-11-05,41.6936215,44.7945991,დანიელ ჭონქაძის ქუჩა,2,0.0005839600653907895
2023-10-30/2023-11-05,41.6938707,44.8013443,თავისუფლების მოედანი,4,0.0003904750844062612
2023-10-30/2023-11-05,41.6943656,44.80171416847364,პუშკინის პარკი,1,0.0004456045644783853
2023-10-30/2023-11-05,41.6947899,44.8159154,კონსტანტინე ერისთავის ქუჩა,12,0.000542090679393834
2023-10-30/2023-11-05,41.6948246,44.794709,შიო ჩიტაძის ქუჩა,3,0.0006667352462074437
2023-10-30/2023-11-05,41.6952643,44.9091933,ზაზა დამენიას ქუჩა,1,0.0005778372133797844
2023-10-30/2023-11-05,41.6952649,44.8195904,მარტყოფის ქუჩა,3,0.0004960827724757765
2023-10-30/2023-11-05,41.6953823,44.8044122,ილია და ნინო ნაკაშიძეების ქუჩა,1,0.0005503200972898801
2023-10-30/2023-11-05,41.69588645,44.78900241377039,მთაწმინდის პანთეონი,3,0.0007956691431049878
2023-10-30/2023-11-05,41.6960185,44.8824055,რომანოზ ხომლელის ქუჩა,11,0.00031749297438449697
2023-10-30/2023-11-05,41.6964344,44.8541683,ნიკო მუსხელიშვილის ქუჩა,2,0.0002820369464701083
2023-10-30/2023-11-05,41.6965575,44.7963111,პავლე ინგოროყვას შესახევი,4,0.0008792221817088841
2023-10-30/2023-11-05,41.6966207,44.8452992,მესხეთის ქუჩა,2,0.000419274872112679
2023-10-30/2023-11-05,41.6968287,44.7933634,დიმიტრი ყიფიანის ქუჩა,4,0.00048041766911964534
2023-10-30/2023-11-05,41.696858899999995,44.808268736443296,ნიკოლოზ ბარათაშვილის ხიდი,1,0.0006603853867197536
2023-10-30/2023-11-05,41.696996,44.8141498,ერევნის ქუჩა,3,0.000440962817192884
2023-10-30/2023-11-05,41.6970028,44.8213852,საინგილოს ქუჩა,3,0.0003420732804613447
2023-10-30/2023-11-05,41.697489,44.7955152,მიხაი ზიჩის ქუჩა,8,0.0007470419191482583
2023-10-30/2023-11-05,41.697589,44.7921677,ვეძინის ქუჩა,2,0.000546287936515197
2023-10-30/2023-11-05,41.6976077,44.7965839,ტარას შევჩენკოს ქუჩა,2,0.0009850346527468772
2023-10-30/2023-11-05,41.6983438,44.8010491,რევაზ თაბუკაშვილის ქუჩა,1,0.0005188311440904258
2023-10-30/2023-11-05,41.6983773,44.8026339,ფხოვის ქუჩა,1,0.0006494160044547693
2023-10-30/2023-11-05,41.6986866,44.6991008,არსენას ქუჩა,1,0.0006349859487689939
2023-10-30/2023-11-05,41.6987354,44.793547,არსენა ოძელაშვილის ქუჩა,1,0.00034139067056641805
2023-10-30/2023-11-05,41.6988754,44.8520951,შალვა მშველიძის ქუჩა,5,0.0003663392684935518
2023-10-30/2023-11-05,41.699344,44.8050557,სანაპიროს ქუჩა,1,0.0004218433902754496
2023-10-30/2023-11-05,41.6994331,44.8110477,ნიკოლოზ ანთელავას ქუჩა,1,0.0007837123576896677
2023-10-30/2023-11-05,41.6994363,44.8528847,შანდორ პეტეფის ქუჩა,17,0.0003381109681410262
2023-10-30/2023-11-05,41.6997526,44.8173572,გუმბრის ქუჩა,1,0.00047623946157674546
2023-10-30/2023-11-05,41.7000055,44.8879953,მიხეილ გახოკიძის ქუჩა,4,0.0003687839643963125
2023-10-30/2023-11-05,41.7001999,44.8519182,თეოფანე დავითაიას ქუჩა,3,0.0004060957387459785
2023-10-30/2023-11-05,41.7005039,44.7757512,რევაზ ჯაფარიძის ქუჩა,3,0.0005521615565413102
2023-10-30/2023-11-05,41.7008101,44.8090847,ნინო ჩხეიძის ქუჩა,2,0.00032741462983401247
2023-10-30/2023-11-05,41.7011172,44.7903804,ვ. სარაჯიშვილის ქუჩა,1,0.0003836362857380192
2023-10-30/2023-11-05,41.70115155,44.93839143472633,სამგორის რაიონი,6,0.00028405143939257794
2023-10-30/2023-11-05,41.7015494,44.7957882,რევაზ ლაღიძის ქუჩა,3,0.0007408158819205783
2023-10-30/2023-11-05,41.7016292,44.8000225,მარია ბროსეს ქუჩა,1,0.0007937324359612424
2023-10-30/2023-11-05,41.70167015,44.847662265370126,ვაზისუბნის 1-ლი მიკრორაიონი,37,0.00026960550905808325
2023-10-30/2023-11-05,41.7018156,44.7823367,ვალერიან გუნიას II გას.,1,0.0005556127051728697
2023-10-30/2023-11-05,41.7029189,44.7926852,შოთა რუსთაველის გამზირი,5,0.0008731056795573666
2023-10-30/2023-11-05,41.7029471,44.7788582,გურამ რჩეულიშვილის ქუჩა,6,0.0005758830441224478
2023-10-30/2023-11-05,41.7029979,44.7815528,იაკობ გოგებაშვილის II ჩიხი,7,0.0007470419191482583
2023-10-30/2023-11-05,41.7030702,44.7845482,ანასტასია ერისთავ-ხოშტარიას ქუჩა,2,0.0008731056795573666
2023-10-30/2023-11-05,41.7037263,44.7724829,გიორგი შატბერაშვილის ქუჩა,10,0.0007643055996304152
2023-10-30/2023-11-05,41.7039551,44.8483474,ზურაბ პატარიძის ქუჩა,11,0.00039826001213816916
2023-10-30/2023-11-05,41.7040318,44.7877933,Goethe-Institut in Georgien,4,0.0003917085446117451
2023-10-30/2023-11-05,41.7040582,44.8082696,მიხეილ ბუხაიძის ქუჩა,1,0.0007921163967216252
2023-10-30/2023-11-05,41.7041899,44.7855688,მიხეილ ზანდუკელის ქუჩა,4,0.0008940522785423838
2023-10-30/2023-11-05,41.7043433,44.709083,ნუშის ბაღების ქუჩა,1,0.000350709089364603
2023-10-30/2023-11-05,41.7046742,44.770178,მარუხის გმირების ქუჩა,3,0.0007441241587136647
2023-10-30/2023-11-05,41.7051737,44.7865877,თამარ ჭოველიძის ქუჩა,3,0.0008254817333996921
2023-10-30/2023-11-05,41.7052411,44.7721433,ქობულეთის I. შესასვლელი,1,0.0006911409311483799
2023-10-30/2023-11-05,41.7053779,44.8081745,ვეძათხევის ქუჩა,1,0.00036297701789481996
2023-10-30/2023-11-05,41.7055727,44.7636174,აბაშელის ქუჩა,1,0.0008990956544404816
2023-10-30/2023-11-05,41.7056436,44.7358963,ირაკლი უჩანეიშვილის ქუჩა,1,0.0007559348973607679
2023-10-30/2023-11-05,41.7059334,44.788552,ვაშლოვანის ქუჩა,1,0.0004784142884512792
2023-10-30/2023-11-05,41.7060477,44.7709185,მცხეთის ქუჩა,7,0.0008211035052829299
2023-10-30/2023-11-05,41.706205,44.7904128,ლეო ქიაჩელის ქუჩა,3,0.000903632629044436
2023-10-30/2023-11-05,41.7063194,44.7747451,შროშის ქუჩა,2,0.0007021484125702904
2023-10-30/2023-11-05,41.7063392,44.8481888,ჯუმბერ ლეჟავას I შესახვევი,2,0.00032374441105012774
2023-10-30/2023-11-05,41.7063539,44.7579531,ცხვედაძის ქ.,4,0.0005144370413249442
2023-10-30/2023-11-05,41.7063787,44.8029491,მიხეილ წინამძღვრიშვილის ქუჩა,5,0.0004618697295561031
2023-10-30/2023-11-05,41.7064319,44.8012111,კიევის ქუჩა,1,0.00047993190486883715
2023-10-30/2023-11-05,41.7064502,44.7682302,შალვა რადიანის ქუჩა,1,0.0005079887590151951
2023-10-30/2023-11-05,41.7065053,44.7668787,არაყიშვილის I ჩიხი,8,0.0007592209496456476
2023-10-30/2023-11-05,41.7066772,44.7865125,მელიქიშვილის გამზირი,15,0.0009524789231534909
2023-10-30/2023-11-05,41.7067619,44.7817388,სიმონ ჯანაშიას ქუჩა,7,0.000622533874313634
2023-10-30/2023-11-05,41.706933,44.7778367,ვასილ ბარნოვის ქუჩა,13,0.0006803429950895632
2023-10-30/2023-11-05,41.7071717,44.7885558,ნიკო ნიკოლაძის ქუჩა,5,0.000596791543950539
2023-10-30/2023-11-05,41.7074231,44.7806095,ვასილ პეტრიაშვილის ქუჩა,3,0.0007148354318266949
2023-10-30/2023-11-05,41.7076235,44.8075429,შიო არაგვისპირელის ქუჩა,1,0.00024005643793211816
2023-10-30/2023-11-05,41.7079852,44.7739069,ზაქარია ფალიაშვილის ქუჩა,16,0.0005950342203373207
2023-10-30/2023-11-05,41.7080349,44.8590477,თბილისის ზღვის ახალი ქალაქი,12,0.00038269650653384105
2023-10-30/2023-11-05,41.7082587,44.7935091,უ. ჩხეიძის ქუჩა,3,0.0006349859487689939
2023-10-30/2023-11-05,41.7082874,44.8055895,არნოლდ ჩიქობავას შესახვევი,2,0.0004251040431223784
2023-10-30/2023-11-05,41.7087295,44.8445562,თამარ ღვალაძის II შესახვევი,2,0.0003645295585395602
2023-10-30/2023-11-05,41.7087425,44.7978234,სანკტ-პეტერბურგის ქუჩა,1,0.0003865127720859428
2023-10-30/2023-11-05,41.7087564,44.7789189,კორნელი კეკელიძის ქუჩა,7,0.0005442750310575993
2023-10-30/2023-11-05,41.7087786,44.7646793,ოთარი თაქთაქიშვილის ქუჩა,2,0.0010047430291317948
2023-10-30/2023-11-05,41.7088451,44.7697397,მირცხულავას ქუჩა,21,0.00036688218147974927
2023-10-30/2023-11-05,41.7089119,44.7830576,გიორგი ქუჩიშვილის ქუჩა,2,3.921038233648537e-06
2023-10-30/2023-11-05,41.7089357,44.8034032,გიორგი მაზნიაშვილის ქუჩა,4,0.0004632746359677545
2023-10-30/2023-11-05,41.709379,44.79749485218963,მარჯანიშვილის მოედანი,1,0.00035773838381747576
2023-10-30/2023-11-05,41.7095941,44.7968749,მარჯანიშვილი,2,0.00030077379435340933
2023-10-30/2023-11-05,41.7098152,44.7730111,ატენის ქუჩა,14,0.00048531023585491055
2023-10-30/2023-11-05,41.7100623,44.8047404,მაქსიმ გორკის ქუჩა,2,0.00042011781595966986
2023-10-30/2023-11-05,41.7101506,44.8193015,პ. ბაგრატიონის ქუჩა,5,0.00038099156926139633
2023-10-30/2023-11-05,41.7102387,44.7728277,გრიგოლ აბაშიძის ქუჩა,10,0.0008154029189278562
2023-10-30/2023-11-05,41.7104505,44.7565755,ილო მოსაშვილის ქუჩა,2,0.0005745273491218261
2023-10-30/2023-11-05,41.7109226,44.8148901,დავითაშვილის ქუჩა,1,0.0003018786699042674
2023-10-30/2023-11-05,41.71119055,44.72713699223983,,1,0.0006536608855222901
2023-10-30/2023-11-05,41.7113175,44.7959967,დავით აღმაშენებლის გამზირი,7,0.00048489749498821066
2023-10-30/2023-11-05,41.7113604,44.7830694,კოტე მახარაძის ქუჩა,1,0.0006194986414785182
2023-10-30/2023-11-05,41.7114294,44.7806317,ვარაზისხევის ქუჩა,4,0.00042904730586423384
2023-10-30/2023-11-05,41.7117169,44.72626671202614,,1,0.0007541410620554957
2023-10-30/2023-11-05,41.7119183,44.7589481,ლევან მიქელაძის ქუჩა,1,0.00031749297438449697
2023-10-30/2023-11-05,41.7120113,44.8775867,ვიქტორ კუპრაძის ქუჩა,14,0.00037900723817149327
2023-10-30/2023-11-05,41.7121766,44.7811063,ჭაბუა ამირეჯიბის გზატკეცილი,6,0.0005844759914741644
2023-10-30/2023-11-05,41.7125321,44.7667872,"ზ, ავალიშვილის ქუჩა",6,0.0007739986601383739
2023-10-30/2023-11-05,41.7126196,44.7670307,ნინო რამიშვილის ქუჩა,6,0.0009329848545262827
2023-10-30/2023-11-05,41.7127756,44.7584983,თენგიზ აბულაძის ქუჩა,1,0.0006349859487689939
2023-10-30/2023-11-05,41.7131224,44.8050886,გიორგი ერისთავის ქუჩა,1,0.0005609053130558592
2023-10-30/2023-11-05,41.7132578,44.7088932,წყნეთის გზატკეცილი,29,0.0005331945262515804
2023-10-30/2023-11-05,41.7133973,44.7164283,,1,0.0004021588258636108
2023-10-30/2023-11-05,41.7134765,44.8031527,გიორგი სხულუხიას ქუჩა,1,0.0002614649891948648
2023-10-30/2023-11-05,41.7136501,44.7955148,გ. ტოვსტონოგოვის ქუჩა,1,0.0004468427870784849
2023-10-30/2023-11-05,41.7137831,44.7177004,ბაგები,1,0.0005079887590151951
2023-10-30/2023-11-05,41.7141366,44.7930041,ლუი პასტერის ქუჩა,1,0.0005357693942738386
2023-10-30/2023-11-05,41.7141725,44.7596077,ნიკოლოზ ყიფშიძის ქუჩა,29,0.0006568834392122927
2023-10-30/2023-11-05,41.7144175,44.7436858,გივი სვანიძის ქუჩა,3,0.00045047173177569964
2023-10-30/2023-11-05,41.7144838,44.7664163,სიმონ ჩიქოვანის ქუჩა,5,0.0005997093043851325
2023-10-30/2023-11-05,41.7147524,44.8031729,პორპილე ჩანჩიბაძის ქუჩა,3,0.00023231278428688027
2023-10-30/2023-11-05,41.7152447,44.7574165,ვლადიმერ გაბაშვილის ქუჩა,5,0.0005325690650920429
2023-10-30/2023-11-05,41.7154774,44.7735545,სულხან ნასიძის ქუჩა,1,0.000440962817192884
2023-10-30/2023-11-05,41.7156823,44.7945388,კარგარეთელის ქუჩა,1,0.0005195328035638154
2023-10-30/2023-11-05,41.71573395,44.72558560003113,თბილისის ივანე ჯავახიშვილის სახელობის სახელმწიფო უნივერსიტეტი,2,0.00043331917383457726
2023-10-30/2023-11-05,41.7158303,44.8047912,გროზნოს ქუჩა,2,0.00044918271029969857
2023-10-30/2023-11-05,41.7162486,44.774766,პლატონ იოსელიანის ქუჩა,8,0.00046490019999660307
2023-10-30/2023-11-05,41.7172719,44.80223,გიორგი ჩიტაიას ქუჩა,2,0.0004511733912490894
2023-10-30/2023-11-05,41.7181022,44.7807554,ბერბუკის ქუჩა,10,0.0006094484013743769
